*numbar	Lcenter	Rcenter	matchnum
NWBbar01      415.719 426.804 1000
NWBbar02      413.684 353.107 1000
NWBbar03      371.567 333.542 1000
NWBbar04      648.7   640.737 1000
NWBbar05      440.602 457.137 1000
NWBbar06      696.84  898.904 1000
NWBbar07      438.121 453.095 1000
NWBbar08      782.302 850.469 1000
NWBbar09      730.964 785.182 1000
NWBbar10      742.145 745.732 1000
NWBbar11      675.223 684.966 1000
NWBbar12      479.705 578.144 1000
NWBbar13      748.276 788.923 1000
NWBbar14      725.728 768.28  1000
NWBbar15      635.038 633.892 1000
NWBbar16      758.212 705.638 1000
NWBbar17      747.531 791.51  1000
NWBbar18      535.752 562.868 1000
NWBbar19      638.425 1044.91 1000
NWBbar20      730.877 722.431 1000
NWBbar21      796.132 823.194 1000
NWBbar22      813.152 793.718 1000
NWBbar23      655.043 751.083 1000
NWBbar24      401.066 370.865 1000
